Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.603396724	3204	6.457622051	1.706843615	34.25828571	0.35132948	1.406011561	0.70300578
0.603454584	3240	6.130025387	1.788439393	34.25828571	0.35132948	1.406011561	0.70300578
0.603512467	3276	6.130025387	1.788439393	34.25828571	0.35132948	1.406011561	0.70300578
0.603570327	3312	6.130025387	1.788439393	34.25828571	0.35132948	1.406011561	0.70300578
0.603628199	3348	5.828710556	1.937469006	34.25828571	0.35132948	1.406011561	0.70300578
0.603686083	3384	5.828710556	1.937469006	34.25828571	0.35132948	1.406011561	0.70300578
0.603743943	3420	5.828710556	1.937469006	34.25828571	0.35132948	1.406011561	0.70300578
0.603801815	3456	5.635200024	1.328154802	34.25828571	0.35132948	1.406011561	0.70300578
0.603859675	3492	5.635200024	1.328154802	34.25828571	0.35132948	1.406011561	0.70300578
0.603917547	3528	5.635200024	1.328154802	34.25828571	0.35132948	1.406011561	0.70300578
0.603975419	3564	5.400728226	1.369245529	34.25828571	0.35132948	1.406011561	0.70300578
0.604033314	3600	5.400728226	1.369245529	34.25828571	0.35132948	1.406011561	0.70300578
0.604091162	3636	5.400728226	1.369245529	34.25828571	0.35132948	1.406011561	0.70300578
0.604149046	3672	5.27799511	1.064413786	34.25828571	0.35132948	1.406011561	0.70300578
0.604206906	3708	5.27799511	1.064413786	34.25828571	0.35132948	1.406011561	0.70300578
0.604264766	3744	5.27799511	1.064413786	34.25828571	0.35132948	1.406011561	0.70300578
0.604322638	3780	5.190184593	4.833643436	34.25828571	0.35132948	1.406011561	0.70300578
0.60438051	3816	5.190184593	4.833643436	34.25828571	0.35132948	1.406011561	0.70300578
0.604438393	3852	5.190184593	4.833643436	34.25828571	0.35132948	1.406011561	0.70300578
0.604496254	3888	5.14061594	5.098899841	34.25828571	0.35132948	1.406011561	0.70300578
0.604554125	3924	5.14061594	5.098899841	34.25828571	0.35132948	1.406011561	0.70300578
0.604612009	3960	5.14061594	5.098899841	34.25828571	0.35132948	1.406011561	0.70300578
0.604669881	3996	6.046869278	3.530445099	34.25828571	0.35132948	1.406011561	0.70300578
0.604727741	4032	6.046869278	3.530445099	34.25828571	0.35132948	1.406011561	0.70300578
